Date,Close,High,Low,Open,Volume
2009-11-23,"2,575.00","2,575.00","2,470.00","2,550.00","3,061"
2009-11-20,"2,545.00","2,570.00","2,425.00","2,540.00","3,090"
2009-11-19,"2,500.00","2,530.00","2,410.00","2,480.00","13,201"
2009-11-18,"2,450.00","2,450.00","2,310.00","2,310.00","10,848"
2009-11-17,"2,390.00","2,440.00","2,300.00","2,345.00","13,494"
2009-11-16,"2,355.00","2,490.00","2,355.00","2,490.00","6,677"
2009-11-13,"2,415.00","2,430.00","2,375.00","2,430.00","1,076"
2009-11-12,"2,415.00","2,460.00","2,410.00","2,460.00","17,084"
2009-11-11,"2,465.00","2,475.00","2,370.00","2,475.00","16,219"
2009-11-10,"2,430.00","2,565.00","2,400.00","2,565.00","15,517"
2009-11-09,"2,490.00","2,590.00","2,450.00","2,540.00","17,422"
2009-11-06,"2,540.00","2,555.00","2,450.00","2,500.00","21,390"
2009-11-05,"2,500.00","2,590.00","2,500.00","2,515.00","1,407"
2009-11-04,"2,500.00","2,510.00","2,380.00","2,430.00","15,524"
2009-11-03,"2,430.00","2,630.00","2,390.00","2,630.00","18,088"
2009-11-02,"2,460.00","2,595.00","2,460.00","2,460.00","13,764"
2009-10-30,"2,560.00","2,600.00","2,510.00","2,600.00","12,079"
2009-10-29,"2,485.00","2,640.00","2,480.00","2,640.00","7,783"
2009-10-28,"2,600.00","2,760.00","2,585.00","2,610.00","31,961"
2009-10-27,"2,760.00","2,800.00","2,700.00","2,705.00","26,641"
2009-10-26,"2,765.00","2,840.00","2,755.00","2,840.00","6,833"
2009-10-23,"2,800.00","2,815.00","2,750.00","2,780.00","18,201"
2009-10-22,"2,780.00","2,900.00","2,780.00","2,900.00","16,566"
2009-10-21,"2,900.00","2,900.00","2,830.00","2,860.00","8,853"
2009-10-20,"2,875.00","2,960.00","2,840.00","2,890.00","14,034"
2009-10-19,"2,900.00","3,000.00","2,890.00","3,000.00","17,281"
2009-10-16,"2,995.00","3,025.00","2,870.00","2,920.00","9,011"
2009-10-15,"2,915.00","3,030.00","2,900.00","2,950.00","11,071"
2009-10-14,"2,945.00","2,950.00","2,835.00","2,885.00","14,994"
2009-10-13,"2,885.00","2,900.00","2,865.00","2,890.00","10,653"
2009-10-12,"2,920.00","2,995.00","2,815.00","2,995.00","27,039"
2009-10-09,"2,930.00","2,935.00","2,890.00","2,935.00","5,602"
2009-10-08,"2,930.00","2,945.00","2,860.00","2,935.00","8,994"
2009-10-07,"2,875.00","2,980.00","2,850.00","2,850.00","16,268"
2009-10-06,"2,875.00","3,000.00","2,850.00","2,980.00","26,804"
2009-10-05,"2,965.00","3,085.00","2,955.00","3,085.00","5,407"
2009-10-01,"3,050.00","3,115.00","2,970.00","3,115.00","8,286"
2009-09-30,"3,050.00","3,120.00","2,960.00","3,015.00","46,779"
2009-09-29,"3,060.00","3,100.00","2,920.00","2,920.00","32,173"
2009-09-28,"2,970.00","2,985.00","2,900.00","2,940.00","18,755"
2009-09-25,"2,950.00","3,020.00","2,950.00","2,975.00","19,127"
2009-09-24,"3,005.00","3,140.00","2,965.00","3,060.00","42,960"
2009-09-23,"3,045.00","3,200.00","3,045.00","3,190.00","45,438"
2009-09-22,"3,230.00","3,370.00","3,190.00","3,370.00","37,609"
2009-09-21,"3,390.00","3,490.00","3,190.00","3,190.00","59,370"
2009-09-18,"3,250.00","3,330.00","3,200.00","3,330.00","11,809"
2009-09-17,"3,280.00","3,390.00","3,060.00","3,100.00","104,885"
2009-09-16,"3,060.00","3,090.00","2,985.00","3,040.00","25,295"
2009-09-15,"3,000.00","3,050.00","2,980.00","2,985.00","29,575"
2009-09-14,"3,010.00","3,045.00","2,960.00","2,960.00","35,914"
2009-09-11,"2,995.00","3,065.00","2,985.00","2,990.00","21,472"
2009-09-10,"3,010.00","3,035.00","2,905.00","2,950.00","17,761"
2009-09-09,"2,955.00","3,045.00","2,955.00","3,010.00","22,619"
2009-09-08,"3,010.00","3,085.00","2,990.00","3,070.00","42,631"
2009-09-07,"3,070.00","3,075.00","2,960.00","3,020.00","25,465"
2009-09-04,"2,950.00","3,030.00","2,940.00","3,030.00","29,299"
2009-09-03,"3,020.00","3,050.00","2,965.00","3,000.00","16,865"
2009-09-02,"3,030.00","3,050.00","2,880.00","2,985.00","33,622"
2009-09-01,"3,030.00","3,085.00","2,980.00","3,000.00","11,556"
2009-08-31,"3,035.00","3,080.00","2,990.00","3,080.00","4,989"
2009-08-28,"3,050.00","3,070.00","2,995.00","3,005.00","12,284"
2009-08-27,"3,000.00","3,100.00","2,975.00","2,980.00","63,598"
